"FLOW","Type of FDI","ECOACT","Industry","CUR","Currency","COU","Reporting country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IN","Inward","0100","PRIMARY SECTOR","SUB","Reported currency","MEX","Mexico","2003","2003","USD","US Dollar","6","Millions",,,153.74,,
"IN","Inward","0100","PRIMARY SECTOR","SUB","Reported currency","MEX","Mexico","2004","2004","USD","US Dollar","6","Millions",,,347.844,,
"IN","Inward","0100","PRIMARY SECTOR","SUB","Reported currency","MEX","Mexico","2005","2005","USD","US Dollar","6","Millions",,,229.154,,
"IN","Inward","0100","PRIMARY SECTOR","SUB","Reported currency","MEX","Mexico","2006","2006","USD","US Dollar","6","Millions",,,453.348,,
"IN","Inward","0100","PRIMARY SECTOR","SUB","Reported currency","MEX","Mexico","2007","2007","USD","US Dollar","6","Millions",,,1789.981,,
"IN","Inward","0100","PRIMARY SECTOR","SUB","Reported currency","MEX","Mexico","2008","2008","USD","US Dollar","6","Millions",,,4813.56,,
"IN","Inward","0100","PRIMARY SECTOR","SUB","Reported currency","MEX","Mexico","2009","2009","USD","US Dollar","6","Millions",,,852.512,,
"IN","Inward","0100","PRIMARY SECTOR","SUB","Reported currency","MEX","Mexico","2010","2010","USD","US Dollar","6","Millions",,,1411.129,,
"IN","Inward","0100","PRIMARY SECTOR","SUB","Reported currency","MEX","Mexico","2011","2011","USD","US Dollar","6","Millions",,,866.332,,
"IN","Inward","0100","PRIMARY SECTOR","SUB","Reported currency","MEX","Mexico","2012","2012","USD","US Dollar","6","Millions",,,2761.841,,
"IN","Inward","0100","PRIMARY SECTOR","USD","US Dollar","MEX","Mexico","2003","2003","USD","US Dollar","6","Millions",,,153.74,,
"IN","Inward","0100","PRIMARY SECTOR","USD","US Dollar","MEX","Mexico","2004","2004","USD","US Dollar","6","Millions",,,347.844,,
"IN","Inward","0100","PRIMARY SECTOR","USD","US Dollar","MEX","Mexico","2005","2005","USD","US Dollar","6","Millions",,,229.154,,
"IN","Inward","0100","PRIMARY SECTOR","USD","US Dollar","MEX","Mexico","2006","2006","USD","US Dollar","6","Millions",,,453.348,,
"IN","Inward","0100","PRIMARY SECTOR","USD","US Dollar","MEX","Mexico","2007","2007","USD","US Dollar","6","Millions",,,1789.981,,
"IN","Inward","0100","PRIMARY SECTOR","USD","US Dollar","MEX","Mexico","2008","2008","USD","US Dollar","6","Millions",,,4813.56,,
"IN","Inward","0100","PRIMARY SECTOR","USD","US Dollar","MEX","Mexico","2009","2009","USD","US Dollar","6","Millions",,,852.512,,
"IN","Inward","0100","PRIMARY SECTOR","USD","US Dollar","MEX","Mexico","2010","2010","USD","US Dollar","6","Millions",,,1411.129,,
"IN","Inward","0100","PRIMARY SECTOR","USD","US Dollar","MEX","Mexico","2011","2011","USD","US Dollar","6","Millions",,,866.332,,
"IN","Inward","0100","PRIMARY SECTOR","USD","US Dollar","MEX","Mexico","2012","2012","USD","US Dollar","6","Millions",,,2761.841,,
"IN","Inward","0595","AGRICULTURE AND FISHING","SUB","Reported currency","MEX","Mexico","2003","2003","USD","US Dollar","6","Millions",,,14.7,,
"IN","Inward","0595","AGRICULTURE AND FISHING","SUB","Reported currency","MEX","Mexico","2004","2004","USD","US Dollar","6","Millions",,,41.337,,
"IN","Inward","0595","AGRICULTURE AND FISHING","SUB","Reported currency","MEX","Mexico","2005","2005","USD","US Dollar","6","Millions",,,15.725,,
"IN","Inward","0595","AGRICULTURE AND FISHING","SUB","Reported currency","MEX","Mexico","2006","2006","USD","US Dollar","6","Millions",,,21.171,,
"IN","Inward","0595","AGRICULTURE AND FISHING","SUB","Reported currency","MEX","Mexico","2007","2007","USD","US Dollar","6","Millions",,,143.514,,
"IN","Inward","0595","AGRICULTURE AND FISHING","SUB","Reported currency","MEX","Mexico","2008","2008","USD","US Dollar","6","Millions",,,54.612,,
"IN","Inward","0595","AGRICULTURE AND FISHING","SUB","Reported currency","MEX","Mexico","2009","2009","USD","US Dollar","6","Millions",,,35.477,,
"IN","Inward","0595","AGRICULTURE AND FISHING","SUB","Reported currency","MEX","Mexico","2010","2010","USD","US Dollar","6","Millions",,,91.506,,
"IN","Inward","0595","AGRICULTURE AND FISHING","SUB","Reported currency","MEX","Mexico","2011","2011","USD","US Dollar","6","Millions",,,33.712,,
"IN","Inward","0595","AGRICULTURE AND FISHING","SUB","Reported currency","MEX","Mexico","2012","2012","USD","US Dollar","6","Millions",,,71.894,,
"IN","Inward","0595","AGRICULTURE AND FISHING","USD","US Dollar","MEX","Mexico","2003","2003","USD","US Dollar","6","Millions",,,14.7,,
"IN","Inward","0595","AGRICULTURE AND FISHING","USD","US Dollar","MEX","Mexico","2004","2004","USD","US Dollar","6","Millions",,,41.337,,
"IN","Inward","0595","AGRICULTURE AND FISHING","USD","US Dollar","MEX","Mexico","2005","2005","USD","US Dollar","6","Millions",,,15.725,,
"IN","Inward","0595","AGRICULTURE AND FISHING","USD","US Dollar","MEX","Mexico","2006","2006","USD","US Dollar","6","Millions",,,21.171,,
"IN","Inward","0595","AGRICULTURE AND FISHING","USD","US Dollar","MEX","Mexico","2007","2007","USD","US Dollar","6","Millions",,,143.514,,
"IN","Inward","0595","AGRICULTURE AND FISHING","USD","US Dollar","MEX","Mexico","2008","2008","USD","US Dollar","6","Millions",,,54.612,,
"IN","Inward","0595","AGRICULTURE AND FISHING","USD","US Dollar","MEX","Mexico","2009","2009","USD","US Dollar","6","Millions",,,35.477,,
"IN","Inward","0595","AGRICULTURE AND FISHING","USD","US Dollar","MEX","Mexico","2010","2010","USD","US Dollar","6","Millions",,,91.506,,
"IN","Inward","0595","AGRICULTURE AND FISHING","USD","US Dollar","MEX","Mexico","2011","2011","USD","US Dollar","6","Millions",,,33.712,,
"IN","Inward","0595","AGRICULTURE AND FISHING","USD","US Dollar","MEX","Mexico","2012","2012","USD","US Dollar","6","Millions",,,71.894,,
"IN","Inward","1495","MINING AND QUARRYING","SUB","Reported currency","MEX","Mexico","2003","2003","USD","US Dollar","6","Millions",,,139.04,,
"IN","Inward","1495","MINING AND QUARRYING","SUB","Reported currency","MEX","Mexico","2004","2004","USD","US Dollar","6","Millions",,,306.507,,
"IN","Inward","1495","MINING AND QUARRYING","SUB","Reported currency","MEX","Mexico","2005","2005","USD","US Dollar","6","Millions",,,213.429,,
"IN","Inward","1495","MINING AND QUARRYING","SUB","Reported currency","MEX","Mexico","2006","2006","USD","US Dollar","6","Millions",,,432.178,,
"IN","Inward","1495","MINING AND QUARRYING","SUB","Reported currency","MEX","Mexico","2007","2007","USD","US Dollar","6","Millions",,,1646.468,,
"IN","Inward","1495","MINING AND QUARRYING","SUB","Reported currency","MEX","Mexico","2008","2008","USD","US Dollar","6","Millions",,,4758.948,,
"IN","Inward","1495","MINING AND QUARRYING","SUB","Reported currency","MEX","Mexico","2009","2009","USD","US Dollar","6","Millions",,,817.036,,
"IN","Inward","1495","MINING AND QUARRYING","SUB","Reported currency","MEX","Mexico","2010","2010","USD","US Dollar","6","Millions",,,1319.623,,
"IN","Inward","1495","MINING AND QUARRYING","SUB","Reported currency","MEX","Mexico","2011","2011","USD","US Dollar","6","Millions",,,832.62,,
"IN","Inward","1495","MINING AND QUARRYING","SUB","Reported currency","MEX","Mexico","2012","2012","USD","US Dollar","6","Millions",,,2689.946,,
"IN","Inward","1495","MINING AND QUARRYING","USD","US Dollar","MEX","Mexico","2003","2003","USD","US Dollar","6","Millions",,,139.04,,
"IN","Inward","1495","MINING AND QUARRYING","USD","US Dollar","MEX","Mexico","2004","2004","USD","US Dollar","6","Millions",,,306.507,,
"IN","Inward","1495","MINING AND QUARRYING","USD","US Dollar","MEX","Mexico","2005","2005","USD","US Dollar","6","Millions",,,213.429,,
"IN","Inward","1495","MINING AND QUARRYING","USD","US Dollar","MEX","Mexico","2006","2006","USD","US Dollar","6","Millions",,,432.178,,
"IN","Inward","1495","MINING AND QUARRYING","USD","US Dollar","MEX","Mexico","2007","2007","USD","US Dollar","6","Millions",,,1646.468,,
"IN","Inward","1495","MINING AND QUARRYING","USD","US Dollar","MEX","Mexico","2008","2008","USD","US Dollar","6","Millions",,,4758.948,,
"IN","Inward","1495","MINING AND QUARRYING","USD","US Dollar","MEX","Mexico","2009","2009","USD","US Dollar","6","Millions",,,817.036,,
"IN","Inward","1495","MINING AND QUARRYING","USD","US Dollar","MEX","Mexico","2010","2010","USD","US Dollar","6","Millions",,,1319.623,,
"IN","Inward","1495","MINING AND QUARRYING","USD","US Dollar","MEX","Mexico","2011","2011","USD","US Dollar","6","Millions",,,832.62,,
"IN","Inward","1495","MINING AND QUARRYING","USD","US Dollar","MEX","Mexico","2012","2012","USD","US Dollar","6","Millions",,,2689.946,,
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2003","2003","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2004","2004","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2005","2005","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2006","2006","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2007","2007","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2008","2008","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2009","2009","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2010","2010","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2011","2011","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2012","2012","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","USD","US Dollar","MEX","Mexico","2003","2003","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","USD","US Dollar","MEX","Mexico","2004","2004","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","USD","US Dollar","MEX","Mexico","2005","2005","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","USD","US Dollar","MEX","Mexico","2006","2006","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","USD","US Dollar","MEX","Mexico","2007","2007","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","USD","US Dollar","MEX","Mexico","2008","2008","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","USD","US Dollar","MEX","Mexico","2009","2009","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
