date	gdp
01-JAN-82	205.148
01-JAN-83	167.25
01-JAN-84	197.237
01-JAN-85	209.299
01-JAN-86	144.912
01-JAN-87	158.915
01-JAN-88	194.412
01-JAN-89	236.922
01-JAN-90	279.595
01-JAN-91	335.183
01-JAN-92	388.709
01-JAN-93	479.52
01-JAN-94	507.928
01-JAN-95	346.584
01-JAN-96	395.16
01-JAN-97	476.77
01-JAN-98	502.457
01-JAN-99	575.475
01-JAN-00	679.625
01-JAN-01	729.555
01-JAN-02	752.425
01-JAN-03	713.283
01-JAN-04	770.27
01-JAN-05	866.346
01-JAN-06	966.867
01-JAN-07	1043.472
01-JAN-08	1101.274
01-JAN-09	894.95
01-JAN-10	1051.128
01-JAN-11	1171.185
01-JAN-12	1186.602
01-JAN-13	1261.983
01-JAN-14	1298.466
01-JAN-15	1152.266
01-JAN-16	1046.925
